,0,nutrition
0,Chevre Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
1,Goat Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
2,Muenster Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
3,Roquefort Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
4,Dark Chocolate,320 calories; 11.3 g total fat; 33 mg cholesterol; 359 mg sodium. 53.2 g carbohydrates; 4.9 g protein; Full Nutrition
5,Choucroute,no recipe match found
6,Clams,Per Serving: 318 calories; 12.9 g fat; 9.3 g carbohydrates; 34.9 g protein; 164 mg cholesterol; 755 mg sodium. Full nutrition
7,Corn,Per Serving: 238 calories; 16.3 g fat; 21.9 g carbohydrates; 3.4 g protein; 0 mg cholesterol; 388 mg sodium. Full nutrition
8,Crab,296 calories; 17.9 g total fat; 144 mg cholesterol; 855 mg sodium. 12.1 g carbohydrates; 20.9 g protein; Full Nutrition
9,Foie Gras,Per Serving: 534 calories; 23.8 g fat; 73.2 g carbohydrates; 4.6 g protein; 60 mg cholesterol; 146 mg sodium. Full nutrition
10,Hamburgers,600 calories; 30.1 g total fat; 70 mg cholesterol; 2092 mg sodium. 55.3 g carbohydrates; 30.8 g protein; Full Nutrition
11,Grilled Hamburgers,600 calories; 30.1 g total fat; 70 mg cholesterol; 2092 mg sodium. 55.3 g carbohydrates; 30.8 g protein; Full Nutrition
12,Lobster,Per Serving: 742 calories; 60.9 g fat; 4.3 g carbohydrates; 44.3 g protein; 169 mg cholesterol; 2036 mg sodium. Full nutrition
13,Mussels,Per Serving: 318 calories; 12.9 g fat; 9.3 g carbohydrates; 34.9 g protein; 164 mg cholesterol; 755 mg sodium. Full nutrition
14,Olives,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
15,Oysters,Per Serving: 248 calories; 17.4 g fat; 5.3 g carbohydrates; 16.4 g protein; 66 mg cholesterol; 652 mg sodium. Full nutrition
16,Salmon,Per Serving: 678 calories; 45.8 g fat; 1.7 g carbohydrates; 61.3 g protein; 179 mg cholesterol; 981 mg sodium. Full nutrition
17,Shellfish,296 calories; 17.9 g total fat; 144 mg cholesterol; 855 mg sodium. 12.1 g carbohydrates; 20.9 g protein; Full Nutrition
18,Grilled Sole ,Per Serving: 447 calories; 37.5 g fat; 3.7 g carbohydrates; 25.3 g protein; 230 mg cholesterol; 800 mg sodium. Full nutrition
19,Sole Fried,471 calories; 24.9 g total fat; 187 mg cholesterol; 840 mg sodium. 24.8 g carbohydrates; 42.1 g protein; Full Nutrition
20,Steak,Per Serving: 232 calories; 13.2 g fat; 12.4 g carbohydrates; 16.2 g protein; 27 mg cholesterol; 1157 mg sodium. Full nutrition
21,Thai Cuisine,Per Serving: 238 calories; 16.3 g fat; 21.9 g carbohydrates; 3.4 g protein; 0 mg cholesterol; 388 mg sodium. Full nutrition
22,Truffles,no recipe match found
23,Venison,no recipe match found
24,Oysters Raw,Per Serving: 61 calories; 0.3 g fat; 15.4 g carbohydrates; 0.9 g protein; 0 mg cholesterol; 5 mg sodium. Full nutrition
25,Tacos,Per Serving: 5 calories; 0.2 g fat; 0.9 g carbohydrates; 0.2 g protein; 0 mg cholesterol; 185 mg sodium. Full nutrition
26,Pork Tacos,384 calories; 15.6 g total fat; 63 mg cholesterol; 533 mg sodium. 38.7 g carbohydrates; 21.3 g protein; Full Nutrition
27,Tuna Steak,Per Serving: 458 calories; 24.7 g fat; 18.3 g carbohydrates; 42.1 g protein; 77 mg cholesterol; 1233 mg sodium. Full nutrition
28,Semi-Sweet Chocolate,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
29,Ribeye Steak ,Per Serving: 352 calories; 27.2 g fat; 0.3 g carbohydrates; 25 g protein; 91 mg cholesterol; 1024 mg sodium. Full nutrition
30,Zoodles (Spiralized Zucchini),Per Serving: 393 calories; 23.8 g fat; 36.5 g carbohydrates; 9.2 g protein; 22 mg cholesterol; 623 mg sodium. Full nutrition
31,Aioli,Per Serving: 121 calories; 13.2 g fat; 1.1 g carbohydrates; 0.3 g protein; 6 mg cholesterol; 153 mg sodium. Full nutrition
32,Anchovies,Per Serving: 384 calories; 33.5 g fat; 16.3 g carbohydrates; 5.8 g protein; 18 mg cholesterol; 549 mg sodium. Full nutrition
33,Aperitif,Per Serving: 286 calories; 19.5 g fat; 19.1 g carbohydrates; 8.6 g protein; 28 mg cholesterol; 264 mg sodium. Full nutrition
34,Apple,512 calories; 26.7 g total fat; 31 mg cholesterol; 241 mg sodium. 67.8 g carbohydrates; 3.6 g protein; Full Nutrition
35,Apple Dessert,Per Serving: 124 calories; 3.2 g fat; 25.3 g carbohydrates; 0.8 g protein; 8 mg cholesterol; 22 mg sodium. Full nutrition
36,Apple Pie,512 calories; 26.7 g total fat; 31 mg cholesterol; 241 mg sodium. 67.8 g carbohydrates; 3.6 g protein; Full Nutrition
37,Artichoke,Per Serving: 134 calories; 11.7 g fat; 3.4 g carbohydrates; 4.4 g protein; 28 mg cholesterol; 315 mg sodium. Full nutrition
38,Eggs & Prosciutto,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
39,Tomato Salad with Prosciutto,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
40,Prosciutto wrapped Roasted Chicken,335 calories; 17.9 g total fat; 81 mg cholesterol; 422 mg sodium. 7.7 g carbohydrates; 24.2 g protein; Full Nutrition
41,Asian Cuisine,Per Serving: 238 calories; 16.3 g fat; 21.9 g carbohydrates; 3.4 g protein; 0 mg cholesterol; 388 mg sodium. Full nutrition
42,Asparagus,Per Serving: 123 calories; 10.8 g fat; 5.2 g carbohydrates; 3.3 g protein; 2 mg cholesterol; 471 mg sodium. Full nutrition
43,Avocado,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
44,Bacon,163 calories; 10.5 g total fat; 26 mg cholesterol; 458 mg sodium. 10.7 g carbohydrates; 6.5 g protein; Full Nutrition
45,Barbecue,Per Serving: 46 calories; 0.9 g fat; 9.9 g carbohydrates; 0.3 g protein; 1 mg cholesterol; 219 mg sodium. Full nutrition
46,Beef Prime Rib,Per Serving: 1757 calories; 160.6 g fat; 1 g carbohydrates; 72.5 g protein; 362 mg cholesterol; 343 mg sodium. Full nutrition
47,Basil,Per Serving: 67 calories; 6.6 g fat; 0.8 g carbohydrates; 1.5 g protein; 1 mg cholesterol; 87 mg sodium. Full nutrition
48,Beef,Per Serving: 528 calories; 24.6 g fat; 42.1 g carbohydrates; 29.4 g protein; 96 mg cholesterol; 1605 mg sodium. Full nutrition
49,Beef Braised,Per Serving: 490 calories; 38.6 g fat; 9.3 g carbohydrates; 22.4 g protein; 86 mg cholesterol; 739 mg sodium. Full nutrition
50,Lechon Asado,Per Serving: 639 calories; 37.8 g fat; 34.8 g carbohydrates; 39.8 g protein; 138 mg cholesterol; 1194 mg sodium. Full nutrition
51,Roast Beef,Per Serving: 489 calories; 25 g fat; 5.8 g carbohydrates; 56.8 g protein; 173 mg cholesterol; 149 mg sodium. Full nutrition
52,Beef Short Ribs,Per Serving: 490 calories; 38.6 g fat; 9.3 g carbohydrates; 22.4 g protein; 86 mg cholesterol; 739 mg sodium. Full nutrition
53,Beef Stew,Per Serving: 401 calories; 21.2 g fat; 24.9 g carbohydrates; 27.2 g protein; 79 mg cholesterol; 436 mg sodium. Full nutrition
54,Beef Wellington,Per Serving: 744 calories; 57.2 g fat; 29.6 g carbohydrates; 26.2 g protein; 131 mg cholesterol; 434 mg sodium. Full nutrition
55,Beets,Per Serving: 347 calories; 26.1 g fat; 25 g carbohydrates; 5.3 g protein; 7 mg cholesterol; 107 mg sodium. Full nutrition
56,Blackberries,Per Serving: 318 calories; 9.1 g fat; 58.4 g carbohydrates; 2.7 g protein; 23 mg cholesterol; 253 mg sodium. Full nutrition
57,Blueberries,Per Serving: 461 calories; 19.9 g fat; 66.8 g carbohydrates; 5.3 g protein; 46 mg cholesterol; 281 mg sodium. Full nutrition
58,Wild Boar,529 calories; 32 g total fat; 97 mg cholesterol; 1514 mg sodium. 28.7 g carbohydrates; 32.7 g protein; Full Nutrition
59,Butter,122 calories; 6.5 g total fat; 11 mg cholesterol; 119 mg sodium. 14.4 g carbohydrates; 2.4 g protein; Full Nutrition
60,Butter Sauce,Per Serving: 520 calories; 37.5 g fat; 1 g carbohydrates; 43.6 g protein; 274 mg cholesterol; 1031 mg sodium. Full nutrition
61,Cabbage,Per Serving: 200 calories; 12 g fat; 22.5 g carbohydrates; 0.8 g protein; 11 mg cholesterol; 253 mg sodium. Full nutrition
62,Carpaccio,Per Serving: 477 calories; 19.3 g fat; 52.3 g carbohydrates; 24 g protein; 26 mg cholesterol; 1090 mg sodium. Full nutrition
