,0,nutrition
0,Sausage,409 calories; 32.2 g total fat; 109 mg cholesterol; 861 mg sodium. 2.7 g carbohydrates; 25.6 g protein; Full Nutrition
1,Rabbit with Mustard,767 calories; 33.3 g total fat; 300 mg cholesterol; 894 mg sodium. 21.9 g carbohydrates; 79.1 g protein; Full Nutrition
2,Cinnamon Apricot Tart,230 calories; 9.5 g total fat; 6 mg cholesterol; 263 mg sodium. 34.3 g carbohydrates; 3.2 g protein; Full Nutrition
3,Apple Tatin,512 calories; 26.7 g total fat; 31 mg cholesterol; 241 mg sodium. 67.8 g carbohydrates; 3.6 g protein; Full Nutrition
4,Braised Lamb Shoulder,250 calories; 19.1 g total fat; 62 mg cholesterol; 2072 mg sodium. 2.3 g carbohydrates; 16.2 g protein; Full Nutrition
5,Sauerkraut,Per Serving: 33 calories; 0.1 g fat; 7.8 g carbohydrates; 1.8 g protein; 0 mg cholesterol; 1584 mg sodium. Full nutrition
6,Cabbage Rolls,Per Serving: 441 calories; 16 g fat; 59.5 g carbohydrates; 18 g protein; 43 mg cholesterol; 801 mg sodium. Full nutrition
7,Chicken Tacos,401 calories; 20.7 g total fat; 75 mg cholesterol; 435 mg sodium. 30.3 g carbohydrates; 24.9 g protein; Full Nutrition
8,Baked Beans,382 calories; 6.3 g total fat; 14 mg cholesterol; 1320 mg sodium. 63.1 g carbohydrates; 20.7 g protein; Full Nutrition
9,Wild Boar Barbecued,820 calories; 30.3 g total fat; 118 mg cholesterol; 481 mg sodium. 74.2 g carbohydrates; 64.7 g protein; Full Nutrition
10,Wild Boar Grilled,820 calories; 30.3 g total fat; 118 mg cholesterol; 481 mg sodium. 74.2 g carbohydrates; 64.7 g protein; Full Nutrition
11,Wild Boar Roasted,820 calories; 30.3 g total fat; 118 mg cholesterol; 481 mg sodium. 74.2 g carbohydrates; 64.7 g protein; Full Nutrition
12,Calamari,Per Serving: 642 calories; 66.7 g fat; 5.2 g carbohydrates; 8 g protein; 112 mg cholesterol; 254 mg sodium. Full nutrition
13,Charcuterie,no recipe match found
14,Farsumagru,no recipe match found
15,Strawberry Shortcake,Per Serving: 387 calories; 19.3 g fat; 51.7 g carbohydrates; 4.4 g protein; 149 mg cholesterol; 274 mg sodium. Full nutrition
16,BLT,306 calories; 15.9 g total fat; 36 mg cholesterol; 809 mg sodium. 28.5 g carbohydrates; 12.3 g protein; Full Nutrition
17,Grilled Vegetable Sandwich,Per Serving: 714 calories; 29.4 g fat; 79.8 g carbohydrates; 35.1 g protein; 46 mg cholesterol; 1918 mg sodium. Full nutrition
18,Mixed Greens with Raspberry Vinaigrette,Per Serving: 118 calories; 9.2 g fat; 9.6 g carbohydrates; 0 g protein; 0 mg cholesterol; 21 mg sodium. Full nutrition
19,Sole with Lemon Butter Sauce,Per Serving: 915 calories; 74 g fat; 23.5 g carbohydrates; 38.8 g protein; 294 mg cholesterol; 682 mg sodium. Full nutrition
20,Herbed Sole,Per Serving: 337 calories; 9.1 g fat; 12.6 g carbohydrates; 33.9 g protein; 167 mg cholesterol; 466 mg sodium. Full nutrition
21,Hazelnut Banana French Toast,Per Serving: 639 calories; 32.9 g fat; 81.6 g carbohydrates; 9.7 g protein; 87 mg cholesterol; 227 mg sodium. Full nutrition
22,Deep Fried Butter,Per Serving: 400 calories; 31.5 g fat; 27.3 g carbohydrates; 3.6 g protein; 93 mg cholesterol; 289 mg sodium. Full nutrition
23,Salmon Burgers,Per Serving: 268 calories; 10.9 g fat; 12.9 g carbohydrates; 27.8 g protein; 92 mg cholesterol; 484 mg sodium. Full nutrition
24,Game Birds,Per Serving: 314 calories; 8 g fat; 10 g carbohydrates; 48 g protein; 171 mg cholesterol; 1882 mg sodium. Full nutrition
25,Pumpkin Pie,287 calories; 11.7 g total fat; 37 mg cholesterol; 325 mg sodium. 41 g carbohydrates; 5.8 g protein; Full Nutrition
26,Appleby's Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
