,style,wine,red meat,cured meat,game,pork,poultry,fish,shellfish,mollusk,green veg,root veg,allium,nightshade,bean,fungi,fresh green,earthy green,bitter floral,savory brown,sharp spicy,perfumed/citrus spicy,smoky spicy,umami spicy,baking spice,anise,fresh/salty,delicate/nutty,strong/firm,pungent,grilled/bbq,sauteed/fried,roasted,smoked,poached/steamed,raw
0,bold red,cabernet sauvignon,15,9,9,9,1,0,0,0,1,1,3,4,1,4,2,2,1,1,1,1,1,5,5,3,1,1,3,1,5,1,4,4,1,0.5
1,medium red,merlot,9,12,15,15,4,0,0,0,1,4,3,5,4,5,3,2,1,2,1,1,4,3,4,5,1,3,5,5,3,1,5,5,1,0.5
2,bold red,syrah,15,15,15,9,2,0,0,0,1,1,3,3,1,4,1,3,2,2,3,1,3,5,4,5,1,2,5,5,5,1,4,4,1,0.5
3,bold red,malbec,15,12,9,9,3,0,0,0,1,1,3,3,1,4,4,4,2,2,1,1,1,5,5,3,1,2,5,5,5,1,3,3,1,0.5
4,light red,pinot noir,9,15,15,12,5,9,9,3,2,3,4,4,3,5,2,4,3,3,3,1,1,2,5,3,3,4,4,3,3,5,4,4,1,1
5,medium red,sangiovese,9,12,15,15,4,6,3,3,2,3,3,5,3,4,2,5,2,2,1,1,2,5,3,3,3,4,5,3,4,2,5,3,1,0.5
6,rich white,chardonnay,3,6,6,9,5,15,15,9,3,3,4,2,2,5,5,3,2,1,1,5,1,1,5,1,3,5,4,3,1,4,2,1,4,3
7,light white,sauvignon blanc,0,3,3,6,5,15,15,15,5,2,3,4,1,1,5,3,5,1,2,5,1,1,1,1,4,4,3,4,1,3,1,1,4,5
8,light white,riesling dry,0,3,6,3,3,15,15,15,4,4,3,2,4,1,5,2,5,1,3,5,2,3,3,2,5,5,4,3,1,3,1,1,5,5
9,sweet white,riesling off-dry,0,12,6,12,4,9,6,9,3,4,5,4,3,2,1,2,4,3,2,4,4,3,4,3,3,4,5,5,4,3,4,4,2,1
10,rich white,gewurztraminer,0,12,12,12,4,6,6,6,3,4,5,4,2,2,2,5,5,4,4,4,2,3,4,1,5,4,4,5,3,4,4,1,4,2
11,light white,chenin blanc dry,0,3,6,6,4,12,9,12,2,4,4,3,2,5,2,4,2,1,3,4,1,1,2,4,4,5,3,4,1,5,4,1,3,4
12,sweet white,chenin blanc off-dry,0,12,12,12,4,6,6,3,2,4,4,3,4,4,1,3,3,3,4,4,4,2,5,3,3,4,5,4,3,3,5,1,4,1
13,bold red,mourvedre,15,9,12,12,2,0,0,0,1,2,3,3,2,4,2,4,1,3,1,1,2,4,4,4,1,1,3,2,5,1,4,4,1,a
14,bold red,pinotage,15,9,15,9,1,0,0,0,1,2,2,4,2,3,3,2,2,2,1,1,4,4,3,4,1,1,5,2,5,1,3,4,1,0.5
15,bold red,petite sirah,15,9,12,12,1,0,0,0,1,3,3,3,3,3,2,2,2,1,1,1,3,4,5,5,2,3,5,4,5,1,4,3,1,0.5
16,bold red,touriga nacional,15,9,9,12,2,0,0,0,1,3,3,3,4,3,1,2,3,3,1,1,3,4,3,4,3,3,4,4,5,1,3,4,1,0.5
17,bold red,bordeaux blend,12,12,15,12,3,0,0,0,1,3,3,5,2,5,3,2,2,2,1,1,3,4,5,5,2,3,5,5,4,1,5,5,1,0.5
18,bold red,zinfandel,12,9,12,12,4,0,0,0,1,3,3,4,3,3,1,1,1,3,1,3,3,4,4,3,1,2,5,3,5,2,3,3,1,0.5
19,medium red,cabernet franc,9,12,15,15,4,6,6,3,2,1,3,5,4,3,1,3,3,2,1,2,4,2,4,4,5,3,2,4,3,2,5,3,2,2
20,medium red,tempranillo,12,15,12,12,4,6,0,0,1,4,4,5,3,3,1,3,2,3,3,1,4,4,4,3,1,4,4,1,4,3,4,4,1,1
21,medium red,nebbiolo,12,12,12,12,2,0,0,0,1,3,5,5,4,4,2,2,4,3,1,2,2,5,5,5,1,2,5,2,4,2,4,4,1,0.5
22,medium red,barbera,12,9,15,9,3,3,0,0,1,2,3,4,3,4,1,2,3,2,1,1,1,4,3,5,2,3,3,5,3,3,4,3,1,1
23,medium red,carignan,6,12,9,12,5,3,3,3,2,4,4,5,4,4,2,4,3,4,2,3,3,4,5,2,3,2,5,3,3,4,4,2,2,1
24,medium red,rhone blend,12,12,15,12,4,3,3,0,1,2,3,4,3,5,1,3,3,4,3,2,2,3,4,4,2,3,4,4,4,2,4,3,1,1
25,light red,grenache,6,9,12,12,5,9,3,3,2,3,2,3,2,4,3,4,3,3,2,3,2,3,4,4,4,5,3,2,2,3,4,3,2,2
26,light red,gamay,3,12,12,12,5,9,6,3,3,4,3,3,3,4,3,2,2,4,4,4,2,2,4,4,5,5,3,1,3,3,3,3,2,3
27,light red,st. laurent,6,15,15,12,3,3,3,3,2,2,3,4,3,4,1,4,3,2,1,1,1,2,4,3,3,4,4,3,4,3,3,2,2,2
28,rose,provencal rose,0,6,3,6,3,12,15,12,5,2,2,3,2,1,2,2,2,1,4,3,1,1,3,2,5,4,2,2,2,3,2,1,4,5
29,rose,white zinfandel,0,3,3,3,2,6,6,3,4,2,1,1,1,1,3,1,1,1,3,2,3,3,2,1,2,2,2,2,2,2,2,1,2,4
30,rose,dry rose,0,6,3,6,4,12,12,9,5,3,2,3,2,1,2,3,3,1,2,2,1,1,3,2,5,2,3,3,2,3,2,1,4,5
31,rich white,viognier,0,9,6,12,5,12,9,3,2,5,3,2,3,2,1,2,4,3,4,5,4,2,2,3,4,4,2,2,1,3,3,1,5,2
32,rich white,marsanne blend,0,6,9,9,4,12,12,6,3,4,3,1,2,2,3,2,4,4,4,4,2,2,2,1,1,4,5,1,1,3,2,1,4,3
33,light white,albariño,0,3,3,6,4,15,15,15,5,1,2,3,2,1,5,2,3,2,3,2,1,1,1,1,4,5,2,1,2,2,1,1,4,5
34,light white,pinot blanc,0,3,6,9,4,12,12,3,5,2,3,2,4,3,4,3,3,3,2,3,1,1,3,1,4,3,3,1,1,3,3,1,4,3
35,light white,vermentino,0,6,3,3,4,15,15,9,5,2,2,2,3,1,4,4,3,1,3,1,1,1,1,1,4,2,4,1,1,2,2,1,4,5
36,light white,melon de bourgogne,0,3,3,3,3,12,15,15,5,2,2,3,2,2,5,2,2,1,2,2,1,2,1,1,4,1,1,1,1,1,1,1,4,5
37,light white,garganega,0,3,3,6,4,12,12,12,4,2,3,3,4,2,4,4,2,1,1,1,1,1,1,1,5,3,4,1,1,2,2,1,4,5
38,light white,pinot gris/grigio,0,3,3,3,2,15,12,15,5,2,3,2,2,1,5,2,2,1,4,2,1,1,3,3,4,3,2,1,1,2,2,1,2,5
