Fruit,Type
Blackberry,Black
Black Currant,Black
Marionberry,Black
Black Plum,Black
Blueberry,Black
Black Cherry,Black
Black Raspberry,Black
Acai,Black
Jam,Black
Prune,Dried
Fig,Dried
Black Raisins,Dried
Cranberry,Red
Pomegranate,Red
Red Currant,Red
Bing Cherry,Red
Strawberry,Red
Cherry,Red
Raspberry,Red
Red Plum,Red
Goji Berry,Red
Dragon Fruit,Red
Candied Cherries,Dried
Candied Berries,Dried
Apricot,Tree
Peach,Tree
White Peach,Tree
Nectarine,Tree
Apple,Tree
Green Apple,Tree
Red Apple,Tree
Yellow Apple,Tree
Baked Apple,Tree
Pear,Tree
Quince,Tree
Red Grapefruit,Citrus
Orange,Citrus
Pink Grapefruit,Citrus
Passion Fruit,Tropical
Lemon,Citrus
Meyer Lemon,Citrus
Lemon Zest,Citrus
Lime,Citrus
Key Lime,Citrus
Lime Zest,Citrus
Pineapple,Tropical
Starfruit,Tropical
Mango,Tropical
Papaya,Tropical
Guava,Tropical
Kiwi,Tropical
Coconut,Tropical
Banana,Tropical
Lychee,Tropical
Cantaloupe,Tropical
Melon,Tropical
