,BeverageCategory,Beverage,Food,Rating
0,White Wine,Sancerre,Chevre Cheese,5.0
1,White Wine,Sancerre,Goat Cheese,5.0
2,White Wine,"Gewürztraminer, Alsace",Muenster Cheese,5.0
3,Dessert Wine,Sauternes,Roquefort Cheese,5.0
4,Beer,Barley Wine,Stilton Cheese,5.0
5,Port,"Port, Tawny",Stilton Cheese,5.0
6,Port,"Port, Vintage",Stilton Cheese,5.0
7,Port,"Port, Ruby",Chocolate,5.0
8,Port,"Port, Tawny",Chocolate,5.0
9,Port,"Port, Vintage",Chocolate,5.0
10,Dessert Wine,Banyuls,Dark Chocolate,5.0
11,White Wine,"Riesling, Alsace",Choucroute,5.0
12,White Wine,Kabinett Riesling,Choucroute,5.0
13,White Wine,Muscadet,Clams,5.0
14,White Wine,Chardonnay,Corn,5.0
15,White Wine,Kabinett Riesling,Crab,5.0
16,White Wine,Spätlese Riesling,Crab,5.0
17,White Wine,Sauternes,Foie Gras,5.0
18,Red Wine,Zinfandel,Hamburgers,5.0
19,Red Wine,Zinfandel,Grilled Hamburgers,5.0
20,White Wine,"Burgundy, White",Lobster,5.0
21,White Wine,Chardonnay,Lobster,5.0
22,White Wine,Muscadet,Mussels,5.0
23,Sherry,"Sherry, Fino",Olives,5.0
24,Sherry,"Sherry, Manzanilla",Olives,5.0
25,Liquor,Vodka,Olives,5.0
26,White Wine,Chablis,Oysters,5.0
27,White Wine,Muscadet,Oysters,5.0
28,Red Wine,Pinot Noir,Salmon,5.0
29,White Wine,Muscadet,Shellfish,5.0
30,White Wine,Sancerre,Shellfish,5.0
31,White Wine,"Burgundy, White",Grilled Sole ,5.0
32,White Wine,"Burgundy, White",Sole Fried,5.0
33,Red Wine,Cabernet Sauvignon,Steak,5.0
34,White Wine,Spätlese Riesling,Thai Cuisine,5.0
35,White Wine,Riesling,Thai Cuisine,5.0
36,Red Wine,Barbaresco DOCG,Truffles,5.0
37,Red Wine,Barolo,Truffles,5.0
38,Red Wine,Shiraz,Venison,5.0
