,cabernet sauvignon,merlot,syrah,malbec,pinot noir,sangiovese,chardonnay,sauvignon blanc,riesling dry,riesling off-dry,gewurztraminer,chenin blanc dry,chenin blanc off-dry,mourvedre,pinotage,petite sirah,touriga nacional,bordeaux blend,zinfandel,cabernet franc,tempranillo,nebbiolo,barbera,carignan,rhone blend,grenache,gamay,st. laurent,provencal rose,white zinfandel,dry rose,viognier,marsanne blend,albariño,pinot blanc,vermentino,melon de bourgogne,garganega,pinot gris/grigio,champagne
cabernet sauvignon,1.0,0.0,0.216,0.759,0.006,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.024,0.035,0.159,0.043,0.0,0.001,0.189,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
merlot,0.0,1.0,0.006,0.004,0.238,0.376,0.092,0.009,0.001,0.06,0.018,0.003,0.039,0.002,0.0,0.005,0.009,0.06,0.003,0.182,0.318,0.303,0.001,0.127,0.006,0.009,0.063,0.001,0.0,0.0,0.0,0.063,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syrah,0.137,0.013,1.0,0.485,0.063,0.063,0.0,0.0,0.0,0.023,0.005,0.0,0.009,0.074,0.031,0.067,0.067,0.053,0.009,0.011,0.472,0.345,0.003,0.004,0.023,0.0,0.001,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
malbec,0.33,0.006,0.333,1.0,0.049,0.116,0.01,0.001,0.002,0.002,0.002,0.0,0.0,0.106,0.029,0.079,0.135,0.075,0.013,0.01,0.225,0.442,0.001,0.013,0.012,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.008
pinot noir,0.001,0.084,0.011,0.012,1.0,0.17,0.314,0.058,0.045,0.219,0.157,0.044,0.203,0.002,0.0,0.001,0.0,0.005,0.006,0.043,0.19,0.027,0.0,0.11,0.011,0.024,0.083,0.064,0.001,0.0,0.0,0.037,0.006,0.004,0.001,0.0,0.001,0.003,0.0,0.062
sangiovese,0.003,0.224,0.018,0.048,0.287,1.0,0.098,0.05,0.01,0.056,0.087,0.002,0.012,0.007,0.0,0.003,0.008,0.016,0.011,0.141,0.332,0.221,0.001,0.225,0.004,0.037,0.028,0.01,0.0,0.0,0.0,0.022,0.006,0.003,0.0,0.0,0.0,0.001,0.0,0.03
chardonnay,0.0,0.036,0.0,0.003,0.348,0.064,1.0,0.135,0.175,0.134,0.158,0.032,0.147,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.022,0.002,0.0,0.071,0.002,0.018,0.08,0.023,0.005,0.0,0.002,0.126,0.086,0.032,0.013,0.012,0.002,0.005,0.025,0.227
sauvignon blanc,0.0,0.008,0.0,0.001,0.157,0.08,0.33,1.0,0.437,0.16,0.056,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.029,0.001,0.0,0.01,0.0,0.013,0.066,0.015,0.026,0.0,0.009,0.049,0.003,0.207,0.007,0.025,0.069,0.023,0.02,0.157
riesling dry,0.0,0.0,0.0,0.001,0.091,0.012,0.317,0.325,1.0,0.329,0.091,0.014,0.163,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.009,0.003,0.0,0.003,0.0,0.004,0.043,0.002,0.027,0.002,0.001,0.023,0.011,0.106,0.008,0.026,0.069,0.031,0.04,0.246
riesling off-dry,0.0,0.025,0.005,0.001,0.252,0.038,0.139,0.068,0.188,1.0,0.287,0.019,0.522,0.0,0.0,0.0,0.0,0.0,0.002,0.029,0.064,0.026,0.0,0.071,0.0,0.002,0.076,0.017,0.002,0.001,0.0,0.092,0.028,0.009,0.004,0.002,0.009,0.004,0.004,0.016
gewurztraminer,0.0,0.011,0.002,0.001,0.261,0.086,0.237,0.035,0.075,0.415,1.0,0.017,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.033,0.04,0.0,0.098,0.0,0.013,0.057,0.013,0.001,0.0,0.001,0.139,0.059,0.001,0.008,0.005,0.0,0.014,0.002,0.047
chenin blanc dry,0.0,0.014,0.0,0.0,0.524,0.012,0.352,0.046,0.082,0.196,0.125,1.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.0,0.001,0.0,0.032,0.069,0.046,0.005,0.0,0.0,0.013,0.001,0.001,0.002,0.007,0.001,0.003,0.027,0.25
chenin blanc off-dry,0.0,0.019,0.002,0.0,0.284,0.01,0.186,0.01,0.113,0.634,0.252,0.022,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.028,0.039,0.005,0.0,0.055,0.001,0.004,0.104,0.023,0.003,0.001,0.0,0.129,0.043,0.003,0.002,0.001,0.0,0.006,0.001,0.021
mourvedre,0.053,0.015,0.304,0.635,0.037,0.102,0.0,0.0,0.0,0.001,0.002,0.0,0.0,1.0,0.008,0.136,0.186,0.007,0.013,0.041,0.237,0.172,0.0,0.003,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
pinotage,0.167,0.009,0.341,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,1.0,0.077,0.087,0.037,0.006,0.015,0.406,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
petite sirah,0.057,0.0274,0.1716,0.292,0.0094,0.0281,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0844,0.018,1.0,0.4658,0.0714,0.0007,0.0505,0.2004,0.509,0.0014,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058
touriga nacional,0.153,0.028,0.103,0.3,0.004,0.045,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.069,0.012,0.278,1.0,0.025,0.006,0.094,0.335,0.484,0.006,0.006,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
bordeaux blend,0.055,0.255,0.107,0.223,0.059,0.113,0.001,0.0,0.0,0.005,0.001,0.0,0.002,0.003,0.007,0.057,0.033,1.0,0.001,0.039,0.318,0.699,0.004,0.004,0.014,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
zinfandel,0.0,0.042,0.056,0.121,0.244,0.253,0.179,0.0,0.031,0.056,0.009,0.0,0.033,0.02,0.004,0.002,0.025,0.002,1.0,0.051,0.41,0.034,0.0,0.118,0.047,0.125,0.009,0.0,0.0,0.092,0.0,0.043,0.031,0.0,0.027,0.0,0.027,0.0,0.0,0.002
cabernet franc,0.001,0.275,0.008,0.01,0.185,0.358,0.032,0.019,0.003,0.11,0.072,0.0,0.084,0.007,0.001,0.014,0.045,0.014,0.006,1.0,0.273,0.205,0.003,0.065,0.016,0.007,0.068,0.006,0.0,0.0,0.0,0.092,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.02
tempranillo,0.03,0.164,0.117,0.081,0.277,0.287,0.029,0.015,0.006,0.081,0.029,0.0,0.041,0.014,0.009,0.019,0.055,0.039,0.016,0.093,1.0,0.328,0.001,0.147,0.016,0.002,0.026,0.027,0.0,0.0,0.0,0.035,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.013
nebbiolo,0.109,0.206,0.113,0.21,0.052,0.253,0.004,0.001,0.003,0.043,0.047,0.0,0.008,0.014,0.011,0.065,0.104,0.113,0.002,0.092,0.433,1.0,0.003,0.091,0.014,0.0,0.001,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
barbera,0.0,0.077,0.138,0.046,0.092,0.231,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.2,0.108,0.0,0.262,0.2,0.462,1.0,0.0,0.046,0.015,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
carignan,0.0,0.122,0.002,0.009,0.297,0.36,0.173,0.01,0.004,0.168,0.159,0.0,0.106,0.0,0.0,0.001,0.002,0.001,0.008,0.041,0.271,0.127,0.0,1.0,0.001,0.006,0.055,0.002,0.0,0.0,0.0,0.06,0.011,0.0,0.001,0.0,0.0,0.0,0.0,0.003
rhone blend,0.0,0.078,0.13,0.104,0.389,0.076,0.065,0.0,0.0,0.002,0.01,0.0,0.015,0.063,0.0,0.0,0.164,0.039,0.042,0.124,0.379,0.255,0.005,0.015,1.0,0.002,0.029,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
grenache,0.0,0.046,0.0,0.003,0.359,0.334,0.247,0.072,0.032,0.033,0.122,0.041,0.042,0.0,0.0,0.0,0.0,0.001,0.05,0.025,0.023,0.001,0.001,0.031,0.001,1.0,0.231,0.08,0.0,0.0,0.0,0.151,0.002,0.004,0.0,0.002,0.002,0.012,0.001,0.053
gamay,0.0,0.075,0.0,0.0,0.278,0.055,0.243,0.081,0.071,0.221,0.115,0.019,0.25,0.0,0.0,0.0,0.0,0.0,0.001,0.053,0.059,0.001,0.0,0.068,0.003,0.051,1.0,0.005,0.008,0.0,0.002,0.231,0.014,0.022,0.006,0.0,0.001,0.001,0.005,0.058
st. laurent,0.0,0.003,0.071,0.0,0.685,0.062,0.218,0.059,0.01,0.157,0.083,0.041,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.202,0.001,0.0,0.008,0.0,0.056,0.015,1.0,0.0,0.0,0.0,0.075,0.001,0.0,0.001,0.0,0.013,0.008,0.0,0.045
provencal rose,0.0,0.0,0.0,0.0,0.024,0.0,0.141,0.303,0.421,0.054,0.012,0.012,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,1.0,0.0,0.038,0.015,0.02,0.368,0.018,0.036,0.095,0.003,0.074,0.221
white zinfandel,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.314,0.294,0.098,0.0,0.196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.118,0.333,0.0,0.294,0.0,0.294,0.0,0.0,0.0
dry rose,0.0,0.0,0.0,0.0,0.006,0.0,0.199,0.435,0.093,0.056,0.075,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.155,0.0,1.0,0.025,0.0,0.298,0.093,0.124,0.05,0.267,0.012,0.006
viognier,0.0,0.065,0.0,0.0,0.107,0.038,0.33,0.053,0.033,0.233,0.243,0.003,0.27,0.0,0.0,0.0,0.0,0.0,0.003,0.063,0.069,0.006,0.001,0.065,0.001,0.029,0.201,0.02,0.001,0.001,0.001,1.0,0.087,0.001,0.014,0.001,0.0,0.0,0.005,0.057
marsanne blend,0.0,0.002,0.0,0.0,0.046,0.026,0.579,0.009,0.041,0.183,0.265,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.003,0.0,0.0,0.03,0.0,0.001,0.031,0.0,0.005,0.006,0.0,0.223,1.0,0.014,0.009,0.027,0.0,0.0,0.038,0.228
albariño,0.0,0.0,0.0,0.001,0.03,0.012,0.233,0.625,0.431,0.062,0.005,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.053,0.0,0.095,0.0,0.019,0.004,0.015,1.0,0.024,0.035,0.046,0.011,0.083,0.194
