style,wine,token id
5,cabernet sauvignon,1
4,merlot,2
5,syrah,3
5,malbec,4
3,pinot noir,5
4,sangiovese,6
2,chardonnay,7
1,sauvignon blanc,8
1,riesling dry,9
3,riesling off-dry,10
2,gewurztraminer,11
1,chenin blanc dry,12
3,chenin blanc off-dry,13
5,mourvedre,14
5,pinotage,15
5,petite sirah,16
5,touriga nacional,17
5,bordeaux blend,18
5,zinfandel,19
4,cabernet franc,20
4,tempranillo,21
4,nebbiolo,22
4,barbera,23
4,carignan,24
4,rhone blend,25
3,grenache,26
3,gamay,27
3,st. laurent,28
2,provencal rose,29
3,white zinfandel,30
2,dry rose,31
2,viognier,32
2,marsanne blend,33
1,albariño,34
1,pinot blanc,35
1,vermentino,36
1,melon de bourgogne,37
1,garganega,38
1,pinot gris/grigio,39
1,champagne,40
