,category,beverage,food,Grape,ind,sodium,calories,fat,cholesterol,carbs,protein,BODY,Tannin,Acid,ABV,Dryness,FRUIT
0,White Wine,Sancerre,Chevre Cheese,Sauvignon Blanc,0,60,387,30.5,216,7,6.6,2,0,5,3,2,2
1,White Wine,Sauvignon Blanc,Chevre Cheese,Sauvignon Blanc,0,60,387,30.5,216,7,6.6,2,0,5,3,2,2
2,White Wine,Pouilly Fumé,Chevre Cheese,Sauvignon Blanc,0,60,387,30.5,216,7,6.6,2,0,5,3,2,2
3,White Wine,Sancerre,Goat Cheese,Sauvignon Blanc,1,654,426,31.6,21,1,8,2,0,5,3,2,2
4,White Wine,Sauvignon Blanc,Goat Cheese,Sauvignon Blanc,1,654,426,31.6,21,1,8,2,0,5,3,2,2
5,White Wine,Pouilly Fumé,Goat Cheese,Sauvignon Blanc,1,654,426,31.6,21,1,8,2,0,5,3,2,2
6,White Wine,Bordeaux AOC White,Goat Cheese,Sauvignon Blanc,1,654,426,31.6,21,1,8,2,0,5,3,2,2
7,White Wine,"Reuilly, White",Goat Cheese,Sauvignon Blanc,1,654,426,31.6,21,1,8,2,0,5,3,2,2
8,White Wine,Sauvignon Blanc,Clams,Sauvignon Blanc,6,755,318,12.9,164,3,34.9,2,0,5,3,2,2
9,White Wine,Pouilly Fumé,Clams,Sauvignon Blanc,6,755,318,12.9,164,3,34.9,2,0,5,3,2,2
10,White Wine,Sancerre,Clams,Sauvignon Blanc,6,755,318,12.9,164,3,34.9,2,0,5,3,2,2
11,White Wine,Sauvignon Blanc,Corn,Sauvignon Blanc,7,388,238,16.3,0,9,3.4,2,0,5,3,2,2
12,White Wine,Sauvignon Blanc,Crab,Sauvignon Blanc,8,855,296,17.9,144,1,20.9,2,0,5,3,2,2
13,White Wine,Sauvignon Blanc,Lobster,Sauvignon Blanc,12,2036,742,60.9,169,3,44.3,2,0,5,3,2,2
14,White Wine,Sauvignon Blanc,Mussels,Sauvignon Blanc,13,755,318,12.9,164,3,34.9,2,0,5,3,2,2
15,White Wine,Sancerre,Mussels,Sauvignon Blanc,13,755,318,12.9,164,3,34.9,2,0,5,3,2,2
16,White Wine,Sauvignon Blanc,Olives,Sauvignon Blanc,14,654,426,31.6,21,1,8,2,0,5,3,2,2
17,White Wine,Sauvignon Blanc,Oysters,Sauvignon Blanc,15,652,248,17.4,66,3,16.4,2,0,5,3,2,2
18,White Wine,Bordeaux AOC White,Oysters,Sauvignon Blanc,15,652,248,17.4,66,3,16.4,2,0,5,3,2,2
19,White Wine,Sancerre,Oysters,Sauvignon Blanc,15,652,248,17.4,66,3,16.4,2,0,5,3,2,2
20,White Wine,Sauvignon Blanc,Salmon,Sauvignon Blanc,16,981,678,45.8,179,7,61.3,2,0,5,3,2,2
21,White Wine,Pouilly Fumé,Salmon,Sauvignon Blanc,16,981,678,45.8,179,7,61.3,2,0,5,3,2,2
22,White Wine,Sancerre,Salmon,Sauvignon Blanc,16,981,678,45.8,179,7,61.3,2,0,5,3,2,2
23,White Wine,Sancerre,Shellfish,Sauvignon Blanc,17,855,296,17.9,144,1,20.9,2,0,5,3,2,2
24,White Wine,Pouilly Fumé,Shellfish,Sauvignon Blanc,17,855,296,17.9,144,1,20.9,2,0,5,3,2,2
25,White Wine,Sauvignon Blanc,Shellfish,Sauvignon Blanc,17,855,296,17.9,144,1,20.9,2,0,5,3,2,2
26,White Wine,"Reuilly, White",Shellfish,Sauvignon Blanc,17,855,296,17.9,144,1,20.9,2,0,5,3,2,2
27,White Wine,Bordeaux AOC White,Shellfish,Sauvignon Blanc,17,855,296,17.9,144,1,20.9,2,0,5,3,2,2
28,White Wine,Sauvignon Blanc,Thai Cuisine,Sauvignon Blanc,21,388,238,16.3,0,9,3.4,2,0,5,3,2,2
29,White Wine,Sauvignon Blanc,Oysters Raw,Sauvignon Blanc,24,5,61,0.3,0,4,0.9,2,0,5,3,2,2
30,White Wine,Bordeaux AOC White,Oysters Raw,Sauvignon Blanc,24,5,61,0.3,0,4,0.9,2,0,5,3,2,2
31,White Wine,Sancerre,Oysters Raw,Sauvignon Blanc,24,5,61,0.3,0,4,0.9,2,0,5,3,2,2
32,White Wine,Sauvignon Blanc,Semi-Sweet Chocolate,Sauvignon Blanc,28,60,387,30.5,216,7,6.6,2,0,5,3,2,2
33,White Wine,Bordeaux AOC White,Semi-Sweet Chocolate,Sauvignon Blanc,28,60,387,30.5,216,7,6.6,2,0,5,3,2,2
34,White Wine,Sauvignon Blanc,Aioli,Sauvignon Blanc,31,153,121,13.2,6,1,0.3,2,0,5,3,2,2
35,White Wine,Sauvignon Blanc,Anchovies,Sauvignon Blanc,32,549,384,33.5,18,3,5.8,2,0,5,3,2,2
36,White Wine,Sancerre,Anchovies,Sauvignon Blanc,32,549,384,33.5,18,3,5.8,2,0,5,3,2,2
37,White Wine,Sauvignon Blanc,Aperitif,Sauvignon Blanc,33,264,286,19.5,28,1,8.6,2,0,5,3,2,2
38,White Wine,Sauvignon Blanc,Apple,Sauvignon Blanc,34,241,512,26.7,31,8,3.6,2,0,5,3,2,2
39,White Wine,Sauvignon Blanc,Artichoke,Sauvignon Blanc,37,315,134,11.7,28,4,4.4,2,0,5,3,2,2
40,White Wine,Sancerre,Artichoke,Sauvignon Blanc,37,315,134,11.7,28,4,4.4,2,0,5,3,2,2
41,White Wine,Pouilly Fumé,Artichoke,Sauvignon Blanc,37,315,134,11.7,28,4,4.4,2,0,5,3,2,2
42,White Wine,Sauvignon Blanc,Asian Cuisine,Sauvignon Blanc,41,388,238,16.3,0,9,3.4,2,0,5,3,2,2
43,White Wine,Sauvignon Blanc,Asparagus,Sauvignon Blanc,42,471,123,10.8,2,2,3.3,2,0,5,3,2,2
44,White Wine,Sancerre,Asparagus,Sauvignon Blanc,42,471,123,10.8,2,2,3.3,2,0,5,3,2,2
45,White Wine,Pouilly Fumé,Asparagus,Sauvignon Blanc,42,471,123,10.8,2,2,3.3,2,0,5,3,2,2
46,White Wine,Fumé Blanc,Asparagus,Sauvignon Blanc,42,471,123,10.8,2,2,3.3,2,0,5,3,2,2
47,White Wine,Sauvignon Blanc,Avocado,Sauvignon Blanc,43,654,426,31.6,21,1,8,2,0,5,3,2,2
48,White Wine,Sancerre,Avocado,Sauvignon Blanc,43,654,426,31.6,21,1,8,2,0,5,3,2,2
49,White Wine,Sauvignon Blanc,Basil,Sauvignon Blanc,47,87,67,6.6,1,8,1.5,2,0,5,3,2,2
50,White Wine,Sancerre,Basil,Sauvignon Blanc,47,87,67,6.6,1,8,1.5,2,0,5,3,2,2
51,White Wine,Sauvignon Blanc,Beets,Sauvignon Blanc,55,107,347,26.1,7,25,5.3,2,0,5,3,2,2
52,White Wine,Sancerre,Beets,Sauvignon Blanc,55,107,347,26.1,7,25,5.3,2,0,5,3,2,2
53,White Wine,Sauvignon Blanc,Cabbage,Sauvignon Blanc,61,253,200,12,11,5,0.8,2,0,5,3,2,2
54,White Wine,Sancerre,Ceviche,Sauvignon Blanc,64,241,62,2,6,3,2.9,2,0,5,3,2,2
55,White Wine,Sauvignon Blanc,Ceviche,Sauvignon Blanc,64,241,62,2,6,3,2.9,2,0,5,3,2,2
56,White Wine,Sauvignon Blanc,Cheese,Sauvignon Blanc,65,654,426,31.6,21,1,8,2,0,5,3,2,2
57,White Wine,Sauvignon Blanc,Brie Cheese,Sauvignon Blanc,67,264,286,19.5,28,1,8.6,2,0,5,3,2,2
58,White Wine,Pouilly Fumé,Brie Cheese,Sauvignon Blanc,67,264,286,19.5,28,1,8.6,2,0,5,3,2,2
59,White Wine,Sancerre,Brie Cheese,Sauvignon Blanc,67,264,286,19.5,28,1,8.6,2,0,5,3,2,2
60,White Wine,Sauvignon Blanc,Camembert Cheese,Sauvignon Blanc,69,60,387,30.5,216,7,6.6,2,0,5,3,2,2
61,White Wine,Sancerre,Camembert Cheese,Sauvignon Blanc,69,60,387,30.5,216,7,6.6,2,0,5,3,2,2
62,White Wine,Pouilly Fumé,Camembert Cheese,Sauvignon Blanc,69,60,387,30.5,216,7,6.6,2,0,5,3,2,2
63,White Wine,Sauvignon Blanc,Cheddar Cheese,Sauvignon Blanc,71,654,426,31.6,21,1,8,2,0,5,3,2,2
64,White Wine,Sancerre,Crottin Cheese,Sauvignon Blanc,72,60,387,30.5,216,7,6.6,2,0,5,3,2,2
65,White Wine,Sauvignon Blanc,Crottin Cheese,Sauvignon Blanc,72,60,387,30.5,216,7,6.6,2,0,5,3,2,2
66,White Wine,Pouilly Fumé,Crottin Cheese,Sauvignon Blanc,72,60,387,30.5,216,7,6.6,2,0,5,3,2,2
67,White Wine,Sancerre,Feta Cheese,Sauvignon Blanc,74,800,318,21.9,123,6,25.5,2,0,5,3,2,2
68,White Wine,Sauvignon Blanc,Feta Cheese,Sauvignon Blanc,74,800,318,21.9,123,6,25.5,2,0,5,3,2,2
69,White Wine,Sancerre,Gruyere Cheese,Sauvignon Blanc,79,654,426,31.6,21,1,8,2,0,5,3,2,2
70,White Wine,Sauvignon Blanc,Gruyere Cheese,Sauvignon Blanc,79,654,426,31.6,21,1,8,2,0,5,3,2,2
71,White Wine,Sauvignon Blanc,Havarti Cheese,Sauvignon Blanc,80,654,426,31.6,21,1,8,2,0,5,3,2,2
72,White Wine,Sancerre,Monterey Jack Cheese,Sauvignon Blanc,82,717,169,11.8,146,3,10.2,2,0,5,3,2,2
73,White Wine,Sancerre,Morbier Cheese,Sauvignon Blanc,84,60,387,30.5,216,7,6.6,2,0,5,3,2,2
74,White Wine,Sancerre,Reblochon Cheese,Sauvignon Blanc,89,60,387,30.5,216,7,6.6,2,0,5,3,2,2
75,White Wine,Sauvignon Blanc,Reblochon Cheese,Sauvignon Blanc,89,60,387,30.5,216,7,6.6,2,0,5,3,2,2
76,White Wine,Sauvignon Blanc,Chicken,Sauvignon Blanc,96,980,328,23.4,106,2,17.9,2,0,5,3,2,2
77,White Wine,Sancerre,Roasted Chicken,Sauvignon Blanc,1,662,423,32.1,97,2,30.9,2,0,5,3,2,2
78,White Wine,Sauvignon Blanc,Chiles,Sauvignon Blanc,2,601,362,34.3,58,3,9.2,2,0,5,3,2,2
79,White Wine,Fumé Blanc,Chiles,Sauvignon Blanc,2,601,362,34.3,58,3,9.2,2,0,5,3,2,2
80,White Wine,Sauvignon Blanc,Cilantro,Sauvignon Blanc,9,675,270,11.5,0,8,8.9,2,0,5,3,2,2
81,White Wine,Pouilly Fumé,Cilantro,Sauvignon Blanc,9,675,270,11.5,0,8,8.9,2,0,5,3,2,2
82,White Wine,Sancerre,Cilantro,Sauvignon Blanc,9,675,270,11.5,0,8,8.9,2,0,5,3,2,2
83,White Wine,Sancerre,Cod,Sauvignon Blanc,10,755,318,12.9,164,3,34.9,2,0,5,3,2,2
84,White Wine,Sauvignon Blanc,Cod,Sauvignon Blanc,10,755,318,12.9,164,3,34.9,2,0,5,3,2,2
85,White Wine,Sauvignon Blanc,Crab Cakes,Sauvignon Blanc,14,855,296,17.9,144,1,20.9,2,0,5,3,2,2
86,White Wine,Sancerre,Crab Cakes,Sauvignon Blanc,14,855,296,17.9,144,1,20.9,2,0,5,3,2,2
87,White Wine,Sauvignon Blanc,Crab Dungeness,Sauvignon Blanc,15,1576,722,29.4,333,8,67.6,2,0,5,3,2,2
88,White Wine,Sauvignon Blanc,Crab Soft-Shell,Sauvignon Blanc,16,1576,722,29.4,333,8,67.6,2,0,5,3,2,2
89,White Wine,Bordeaux AOC White,Crab Soft-Shell,Sauvignon Blanc,16,1576,722,29.4,333,8,67.6,2,0,5,3,2,2
