,"cabernet sauvignon",merlot,syrah,malbec,pinot noir,sangiovese,chardonnay,"sauvignon blanc","riesling dry","riesling off-dry",gewurztraminer,"chenin blanc dry","chenin blanc off-dry",mourvedre,pinotage,petite sirah,touriga nacional,bordeaux blend,zinfandel,cabernet franc,tempranillo,nebbiolo,barbera,carignan,"rhone blend",grenache,gamay,"st. laurent","provencal rose","white zinfandel","dry rose",viognier,marsanne blend,albariño,pinot blanc,vermentino,"melon de bourgogne",garganega,"pinot gris/grigio",champagne
red meat,5,3,5,5,3,3,1,0,0,0,0,0,0,5,5,5,5,4,4,3,4,4,4,2,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3
cured meat,3,4,5,4,5,4,2,1,1,4,4,1,4,3,3,3,3,4,3,4,5,4,3,4,4,3,4,5,2,1,2,3,2,1,1,2,1,1,1,3
game,3,5,5,3,5,5,2,1,2,2,4,2,4,4,5,4,3,5,4,5,4,4,5,3,5,4,4,5,1,1,1,2,3,1,2,1,1,1,1,1
pork,3,5,3,3,4,5,3,2,1,4,4,2,4,4,3,4,4,4,4,5,4,4,3,4,4,4,4,4,2,1,2,4,3,2,3,1,1,2,1,2
poultry,1,4,2,3,5,4,5,5,3,4,4,4,4,2,1,1,2,3,4,4,4,2,3,4,4,5,5,3,3,2,4,5,4,4,4,4,3,4,2,4
fish,0,0,0,0,3,2,5,5,5,3,2,4,2,0,0,0,0,0,0,2,2,0,1,1,1,3,3,1,4,2,4,4,4,5,4,5,4,4,5,5
shellfish,0,0,0,0,3,1,5,5,5,2,2,3,2,0,0,0,0,0,0,2,0,0,0,1,1,1,2,1,5,2,4,3,4,5,4,5,5,4,4,5
mollusk,0,0,0,0,1,1,3,5,5,3,2,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,4,1,3,1,2,5,1,3,5,4,5,5
green veg,1,1,1,1,2,2,3,5,4,3,3,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,3,2,5,4,5,2,3,5,5,5,5,4,5,2
root veg,1,4,1,1,3,3,3,2,4,4,4,4,4,2,2,3,3,3,3,1,4,3,2,4,2,3,4,2,2,2,3,5,4,1,2,2,2,2,2,3
allium,3,3,3,3,4,3,4,3,3,5,5,4,4,3,2,3,3,3,3,3,4,4,3,4,3,2,3,3,2,1,2,3,3,2,3,2,2,3,3,3
nightshade,4,5,3,3,4,5,2,4,2,3,2,3,3,3,4,3,3,5,4,5,5,5,4,4,4,3,3,4,3,1,3,2,1,3,2,2,3,3,2,2
hot_pepper,-1,-1,1,1,1,-1,1,1,1,5,3,1,5,1,-1,-1,-1,1,1,2,0,-1,-1,1,1,2,2,2,2,3,2,4,3,2,1,1,1,1,2,-1
bean,1,4,1,1,3,3,2,1,4,3,2,2,4,2,2,3,4,2,3,4,3,4,3,4,3,2,3,3,2,1,2,3,2,2,4,3,2,4,2,3
fungi,4,5,4,4,5,4,5,1,1,2,2,5,4,4,3,3,3,5,3,3,3,4,4,4,5,4,4,4,1,1,1,2,2,1,3,1,2,2,1,4
fresh green,3,3,1,4,2,2,5,5,5,1,2,2,1,2,3,2,1,3,1,1,1,2,1,2,1,3,3,1,2,3,2,1,3,5,4,4,5,4,5,4
earthy green,2,2,3,4,4,5,3,3,2,2,5,4,3,4,2,2,2,2,1,3,3,2,2,4,3,4,2,4,2,1,3,2,2,2,3,4,2,4,2,4
bitter floral,1,1,2,2,3,2,2,5,5,4,5,2,3,1,2,2,3,2,1,3,2,4,3,3,3,3,2,3,2,1,3,4,4,3,3,3,2,2,2,4
savory brown,1,2,2,2,3,2,1,1,1,3,4,1,3,3,2,1,3,2,3,2,3,3,2,4,4,3,4,2,1,1,1,3,4,2,3,1,1,1,1,3
sharp spicy,1,1,3,1,3,1,1,2,3,2,4,3,4,1,1,1,1,1,1,1,3,1,1,2,3,2,4,1,4,3,2,4,4,3,2,3,2,1,4,3
perfumed/citrus spicy,1,1,1,1,1,1,5,5,5,4,4,4,4,1,1,1,1,1,3,2,1,2,1,3,2,3,4,1,3,2,2,5,4,2,3,1,2,1,2,2
smoky spicy,1,4,3,1,1,2,1,1,2,4,2,1,4,2,4,3,3,3,3,4,4,2,1,3,2,2,2,1,1,3,1,4,2,1,1,1,1,1,1,1
umami spicy,5,3,5,5,2,5,1,1,3,3,3,1,2,4,4,4,4,4,4,2,4,5,4,4,3,3,2,2,1,3,1,2,2,1,1,1,2,1,1,1
baking spice,5,4,4,5,5,3,5,1,3,4,4,2,5,4,3,5,3,5,4,4,4,5,3,5,4,4,4,4,3,2,3,2,2,1,3,1,1,1,3,4
