,style,wine
0,bold red,cabernet sauvignon
1,medium red,merlot
2,bold red,syrah
3,bold red,malbec
4,light red,pinot noir
5,medium red,sangiovese
6,rich white,chardonnay
7,light white,sauvignon blanc
8,light white,riesling dry
9,sweet white,riesling off-dry
10,rich white,gewurztraminer
11,light white,chenin blanc dry
12,sweet white,chenin blanc off-dry
13,bold red,mourvedre
14,bold red,pinotage
15,bold red,petite sirah
16,bold red,touriga nacional
17,bold red,bordeaux blend
18,bold red,zinfandel
19,medium red,cabernet franc
20,medium red,tempranillo
21,medium red,nebbiolo
22,medium red,barbera
23,medium red,carignan
24,medium red,rhone blend
25,light red,grenache
26,light red,gamay
27,light red,st. laurent
28,rose,provencal rose
29,rose,white zinfandel
30,rose,dry rose
31,rich white,viognier
32,rich white,marsanne blend
33,light white,albariño
34,light white,pinot blanc
35,light white,vermentino
36,light white,melon de bourgogne
37,light white,garganega
38,light white,pinot gris/grigio
39,sparkling,champagne
