beverage,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
Aglianico,327.41818181818184,21.363636363636363,23.181818181818183,34.09090909090909,34.54545454545455,25.454545454545453,6.818181818181818
"Ajaccio, Red AOC",406.9666666666667,36.0,33.0,11.666666666666666,32.333333333333336,52.666666666666664,10.333333333333334
Albariño,518.6777777777777,45.87301587301587,62.38095238095238,33.34920634920635,44.57142857142857,51.57142857142857,13.317460317460318
Aligoté,584.75,28.25,16.25,25.25,69.0,25.5,22.75
"Aloxe Corton, Red",468.0,40.75,37.75,14.25,58.25,52.0,8.25
Alsace Chasselas (AOC),123.6,8.0,5.0,12.0,11.0,19.0,4.0
Altenberg De Bergbieten Grand Cru - Dry Riesling,865.5,47.0,113.0,59.0,90.0,50.0,35.0
Altenberg De Bergheim Grand Cru - Riesling,278.25,26.5,5.5,22.0,24.0,43.0,5.0
Altenberg de Wolxheim Grand Cru - Riesling,594.85,38.5,62.0,32.5,62.0,41.5,19.0
Amarone,661.576,64.44,33.64,47.0,66.64,84.12,11.28
"Anjou, Red",679.3499999999999,67.0,28.5,48.0,73.5,96.0,10.5
Anjou-Blanc,248.4,20.666666666666668,9.666666666666666,14.333333333333334,34.666666666666664,19.0,2.3333333333333335
Anjou-Gamay,484.14,52.4,32.0,38.4,47.8,83.0,6.0
Anjou-Villages Brissac,322.70000000000005,8.5,13.0,198.5,124.0,6.0,1.0
Anjous-Villages,845.4499999999999,74.66666666666667,33.0,24.333333333333332,108.33333333333333,77.5,13.833333333333334
Ansonica,328.5,31.0,9.0,22.0,43.0,16.0,4.0
Appassimento,539.8333333333334,54.0,15.666666666666666,44.0,57.666666666666664,81.33333333333333,7.333333333333333
Arneis,362.51666666666665,29.916666666666668,20.75,13.833333333333334,33.0,43.5,10.333333333333334
Assyrtiko,166.6,15.0,8.0,9.0,31.0,12.0,0.0
"Asti (DOCG), Frizzante or Spumante",318.9625,19.25,64.125,9.0,21.125,24.375,13.375
"Asti Frizzante, (DOCG)",300.04,27.0,29.0,16.0,42.8,36.4,4.0
"Asti Spumante, (DOCG)",352.5428571428571,31.857142857142858,64.85714285714286,6.714285714285714,29.428571428571427,46.42857142857143,8.571428571428571
"Auxey-Duresses, Red",377.74,29.8,12.2,12.4,45.4,36.6,7.4
"Auxey-Duresses, White",249.69999999999996,22.166666666666668,18.333333333333332,12.0,15.833333333333334,28.666666666666668,7.166666666666667
Baco Noir,499.875,51.125,48.5,30.375,61.125,60.75,5.625
Bandol Rosé AOC,207.3,12.0,9.0,12.5,49.0,8.0,2.5
"Bandol, Red AOC",509.93999999999994,35.8,26.6,78.0,71.4,47.2,11.6
"Bandol, White AOC",149.1,1.0,21.0,4.0,8.0,1.0,8.0
Banyuls,282.9500000000001,22.291666666666668,76.75,10.583333333333334,12.791666666666666,32.5,9.958333333333334
"Banyuls, Vintage",264.5,15.0,35.0,18.0,49.0,19.0,3.0
Barbaresco DOCG,472.6,35.41379310344828,34.44827586206897,37.206896551724135,45.6551724137931,46.793103448275865,12.10344827586207
Barbaresco Riserva DOCG,277.0,5.0,222.0,0.0,2.0,9.0,20.0
Barbera DOC,472.6359375000001,37.984375,25.0,27.8125,44.46875,47.484375,11.578125
Barbera d'Alba (DOC),544.175,47.75,38.25,32.5,49.0,53.75,13.5
Bardolino Superiore,229.9,10.0,19.666666666666668,8.333333333333334,26.0,10.666666666666666,7.333333333333333
Barolo,491.427027027027,36.891891891891895,51.027027027027025,33.37837837837838,47.027027027027025,51.486486486486484,13.027027027027026
Barsac,383.25,27.25,109.75,12.25,9.75,46.0,16.75
Beaujolais,434.657843137255,34.18627450980392,28.41176470588235,33.80392156862745,50.64705882352941,43.333333333333336,10.009803921568627
Beaujolais Villages,692.0857142857143,58.285714285714285,37.57142857142857,38.0,81.14285714285714,82.0,15.0
"Beaujolais, Cru",381.3666666666666,34.5,43.166666666666664,51.166666666666664,37.333333333333336,49.833333333333336,8.166666666666666
"Beaune, Red",414.4,36.0,6.0,26.0,63.0,55.0,4.0
"Beaune, White",414.95,57.0,18.0,13.0,24.5,108.0,2.5
Beernauslese,217.1,4.5,94.5,5.5,36.5,2.0,9.0
"Bellet, Red AOC",195.1,6.0,43.0,6.0,47.0,5.0,4.0
"Bergerac, Red",333.09999999999997,30.0,26.333333333333332,15.666666666666666,41.333333333333336,29.333333333333332,4.333333333333333
"Bergerac, White",230.8,3.0,7.0,5.0,59.0,1.0,3.0
Blagny,483.5200000000001,33.8,50.2,43.4,57.0,39.8,13.4
Blauer Portugieser,460.6,45.0,11.0,42.0,66.0,49.0,5.0
Bonnes-Mares,3876.2,549.0,106.0,108.0,216.0,600.0,13.0
Bonnezeaux,308.0,13.0,160.66666666666666,1.6666666666666667,6.0,33.666666666666664,18.333333333333332
Bordeaux,237.7,34.0,3.0,166.0,3.0,36.0,2.0
Bordeaux AOC Red,615.6361702127659,57.91489361702128,37.702127659574465,44.361702127659576,65.57446808510639,77.19148936170212,10.404255319148936
Bordeaux AOC White,425.3277777777778,37.94444444444444,17.61111111111111,21.11111111111111,50.94444444444444,56.05555555555556,7.277777777777778
Bordeaux Clairet,117.0,14.0,0.0,3.0,5.0,6.0,2.0
"Bordeaux, White, Dry",180.5,14.0,7.0,9.0,8.0,8.0,6.0
Bouzeron,436.26000000000005,46.4,15.2,17.6,36.6,78.0,7.0
Brachetto,639.3,44.0,207.0,9.0,38.0,89.0,29.0
Brachetto d'Acqui,397.2,20.333333333333332,91.66666666666667,102.0,62.0,24.0,12.333333333333334
Brand - Grand Cru,140.2,2.0,0.0,2.0,7.0,1.0,8.0
"Brouilly, Red",57.5,3.0,0.0,3.0,6.0,6.0,2.0
Brunello di Montalcino (DOCG),507.4857142857143,46.285714285714285,26.952380952380953,16.428571428571427,42.0,55.714285714285715,11.523809523809524
Brunello di Montalcino Riserva (DOCG),333.0333333333333,25.666666666666668,36.0,26.0,17.666666666666668,41.333333333333336,10.666666666666666
"Burgundy, Red",594.5169811320754,64.35849056603773,24.660377358490567,25.79245283018868,55.943396226415096,76.81132075471699,6.679245283018868
"Burgundy, White",426.0457142857143,39.75714285714286,24.085714285714285,29.542857142857144,43.25714285714286,57.6,8.228571428571428
Bâtard-Montrachet,439.6500000000001,48.833333333333336,9.666666666666666,22.5,32.666666666666664,88.83333333333333,7.333333333333333
